	GSE24290	GSE148059
Stepglm[both]+RF	0.902398	0.727107438
Stepglm[backward]+RF	0.902398	0.727107438
glmBoost+RF	0.902398	0.722975207
plsRglm	0.780065359	0.700661157
SVM+plsRglm	0.780065359	0.700661157
SVM	0.832352941	0.699834711
SVM+SVM	0.832352941	0.699834711
Stepglm[both]+SVM	0.887908497	0.695702479
Stepglm[backward]+SVM	0.887908497	0.695702479
glmBoost+SVM	0.884640523	0.689090909
Ridge	0.731045752	0.67338843
SVM+Ridge	0.731045752	0.67338843
RF	0.902398	0.672561983
LDA	0.858496732	0.670909091
SVM+LDA	0.858496732	0.670909091
glmBoost+plsRglm	0.724509804	0.670082645
Stepglm[forward]	0.86503268	0.665950413
SVM+Stepglm[forward]	0.86503268	0.665950413
glmBoost+LDA	0.832352941	0.661818182
glmBoost+NaiveBayes	0.786601307	0.661818182
NaiveBayes	0.812745098	0.658512397
SVM+NaiveBayes	0.812745098	0.658512397
glmBoost+Enet[alpha=0.1]	0.832352941	0.656859504
Stepglm[both]+NaiveBayes	0.770261438	0.656859504
Stepglm[backward]+NaiveBayes	0.770261438	0.656859504
Stepglm[both]+plsRglm	0.740849673	0.656859504
Stepglm[backward]+plsRglm	0.740849673	0.656859504
glmBoost+Enet[alpha=0.2]	0.832352941	0.655206612
glmBoost+Ridge	0.835620915	0.654380165
glmBoost	0.780065359	0.654380165
SVM+glmBoost	0.780065359	0.654380165
glmBoost+Enet[alpha=0.3]	0.835620915	0.653553719
glmBoost+Enet[alpha=0.4]	0.835620915	0.653553719
glmBoost+Enet[alpha=0.7]	0.829084967	0.650247934
glmBoost+Enet[alpha=0.8]	0.829084967	0.650247934
glmBoost+Enet[alpha=0.6]	0.832352941	0.649421488
glmBoost+Enet[alpha=0.5]	0.835620915	0.648595041
glmBoost+Stepglm[forward]	0.835620915	0.648595041
glmBoost+Enet[alpha=0.9]	0.829084967	0.648595041
glmBoost+Lasso	0.825816993	0.648595041
Stepglm[both]+glmBoost	0.766993464	0.647768595
Stepglm[backward]+glmBoost	0.766993464	0.647768595
Stepglm[both]+Enet[alpha=0.3]	0.825816993	0.646942149
Stepglm[backward]+Enet[alpha=0.3]	0.825816993	0.646942149
Stepglm[both]+Enet[alpha=0.5]	0.82254902	0.646942149
Stepglm[backward]+Enet[alpha=0.5]	0.82254902	0.646942149
Stepglm[both]+Enet[alpha=0.1]	0.825816993	0.646115702
Stepglm[backward]+Enet[alpha=0.1]	0.825816993	0.646115702
Stepglm[both]+Enet[alpha=0.4]	0.82254902	0.646115702
Stepglm[backward]+Enet[alpha=0.4]	0.82254902	0.646115702
Stepglm[both]+Enet[alpha=0.2]	0.825816993	0.645289256
Stepglm[backward]+Enet[alpha=0.2]	0.825816993	0.645289256
Stepglm[both]+Enet[alpha=0.6]	0.819281046	0.645289256
Stepglm[backward]+Enet[alpha=0.6]	0.819281046	0.645289256
Stepglm[both]+Ridge	0.82254902	0.64446281
Stepglm[backward]+Ridge	0.82254902	0.64446281
Stepglm[both]+Enet[alpha=0.8]	0.819281046	0.641983471
Stepglm[backward]+Enet[alpha=0.8]	0.819281046	0.641983471
Stepglm[both]+Enet[alpha=0.7]	0.819281046	0.641983471
Stepglm[backward]+Enet[alpha=0.7]	0.819281046	0.641983471
Stepglm[both]+Enet[alpha=0.9]	0.82254902	0.641157025
Stepglm[backward]+Enet[alpha=0.9]	0.82254902	0.641157025
Stepglm[both]	0.832352941	0.639504132
Stepglm[backward]	0.832352941	0.639504132
glmBoost+Stepglm[both]	0.832352941	0.639504132
glmBoost+Stepglm[backward]	0.832352941	0.639504132
SVM+Stepglm[backward]	0.832352941	0.639504132
SVM+Stepglm[both]	0.832352941	0.639504132
Stepglm[both]+Lasso	0.82254902	0.639504132
Stepglm[backward]+Lasso	0.82254902	0.639504132
Stepglm[both]+LDA	0.816013072	0.637024793
Stepglm[backward]+LDA	0.816013072	0.637024793
RF+Enet[alpha=0.2]	0.727777778	0.635371901
RF+NaiveBayes	0.780065359	0.633719008
RF+plsRglm	0.727777778	0.633719008
RF+Enet[alpha=0.3]	0.724509804	0.632892562
Enet[alpha=0.1]	0.708169935	0.630413223
SVM+Enet[alpha=0.1]	0.708169935	0.630413223
Enet[alpha=0.2]	0.701633987	0.628760331
SVM+Enet[alpha=0.2]	0.701633987	0.628760331
RF+Enet[alpha=0.1]	0.737581699	0.627933884
RF+Enet[alpha=0.6]	0.727777778	0.627107438
RF+glmBoost	0.717973856	0.627107438
RF+Enet[alpha=0.5]	0.731045752	0.626280992
RF+Enet[alpha=0.4]	0.72124183	0.626280992
RF+Enet[alpha=0.7]	0.727777778	0.625454545
Enet[alpha=0.3]	0.701633987	0.625454545
SVM+Enet[alpha=0.3]	0.701633987	0.625454545
RF+Enet[alpha=0.9]	0.727777778	0.624628099
RF+Enet[alpha=0.8]	0.727777778	0.622975207
RF+Ridge	0.734313725	0.62214876
RF+LDA	0.737581699	0.619669421
RF+XGBoost	0.731045752	0.615950413
XGBoost	0.750653595	0.613057851
SVM+XGBoost	0.750653595	0.613057851
RF+Stepglm[both]	0.731045752	0.613057851
RF+Stepglm[backward]	0.731045752	0.613057851
Stepglm[both]+XGBoost	0.731045752	0.610165289
Stepglm[backward]+XGBoost	0.731045752	0.610165289
RF+Stepglm[forward]	0.737581699	0.60892562
RF+SVM	0.825816993	0.580826446
glmBoost+XGBoost	0.750653595	0.553966942
