	SVM	glmBoost+SVM	Ridge	glmBoost+Ridge	Enet[alpha=0.1]	glmBoost+Enet[alpha=0.1]	Enet[alpha=0.2]	Enet[alpha=0.3]	glmBoost+Enet[alpha=0.3]	glmBoost+Enet[alpha=0.2]	glmBoost+Enet[alpha=0.4]	glmBoost	glmBoost+Enet[alpha=0.5]	glmBoost+Enet[alpha=0.6]	glmBoost+Enet[alpha=0.7]	glmBoost+Enet[alpha=0.8]	glmBoost+Enet[alpha=0.9]	glmBoost+Lasso	glmBoost+plsRglm	glmBoost+Stepglm[forward]	RF+SVM	Stepglm[forward]	plsRglm	RF+Ridge	RF+Enet[alpha=0.1]	RF+plsRglm	RF+Stepglm[forward]	RF+Enet[alpha=0.2]	RF+Enet[alpha=0.3]	RF+Enet[alpha=0.6]	RF+Enet[alpha=0.7]	RF+Enet[alpha=0.5]	RF+glmBoost	RF+Enet[alpha=0.9]	RF+Enet[alpha=0.4]	RF+Enet[alpha=0.8]	RF+Stepglm[both]	RF+Stepglm[backward]	Stepglm[both]+Ridge	Stepglm[backward]+Ridge	Stepglm[both]+plsRglm	Stepglm[backward]+plsRglm	Stepglm[both]+Enet[alpha=0.9]	Stepglm[backward]+Enet[alpha=0.9]	Stepglm[both]+Enet[alpha=0.1]	Stepglm[backward]+Enet[alpha=0.1]	Stepglm[both]+Enet[alpha=0.8]	Stepglm[backward]+Enet[alpha=0.8]	Stepglm[both]+Enet[alpha=0.2]	Stepglm[backward]+Enet[alpha=0.2]	Stepglm[both]+Lasso	Stepglm[backward]+Lasso	Stepglm[both]+Enet[alpha=0.6]	Stepglm[backward]+Enet[alpha=0.6]	Stepglm[both]+Enet[alpha=0.7]	Stepglm[backward]+Enet[alpha=0.7]	Stepglm[both]	Stepglm[backward]	glmBoost+Stepglm[both]	glmBoost+Stepglm[backward]	Stepglm[both]+Enet[alpha=0.4]	Stepglm[backward]+Enet[alpha=0.4]	Stepglm[both]+Enet[alpha=0.3]	Stepglm[backward]+Enet[alpha=0.3]	Stepglm[both]+glmBoost	Stepglm[backward]+glmBoost	Stepglm[both]+Enet[alpha=0.5]	Stepglm[backward]+Enet[alpha=0.5]	glmBoost+RF	RF	Stepglm[both]+SVM	Stepglm[backward]+SVM	Stepglm[both]+RF	LDA	glmBoost+LDA	RF+LDA	Stepglm[both]+LDA	Stepglm[backward]+LDA	Stepglm[backward]+RF	XGBoost	glmBoost+XGBoost	RF+XGBoost	Stepglm[both]+XGBoost	Stepglm[backward]+XGBoost	NaiveBayes	glmBoost+NaiveBayes	RF+NaiveBayes	Stepglm[both]+NaiveBayes	Stepglm[backward]+NaiveBayes	SVM+Enet[alpha=0.1]	SVM+Enet[alpha=0.2]	SVM+Enet[alpha=0.3]	SVM+LDA	SVM+plsRglm	SVM+glmBoost	SVM+Ridge	SVM+Stepglm[backward]	SVM+Stepglm[both]	SVM+Stepglm[forward]	SVM+SVM	SVM+NaiveBayes	SVM+XGBoost
GSM597451	0.439189013393982	0.402822092803588	0.56819443377132	0.827943850200539	0.528587769128444	0.794336804251939	0.539086536476757	0.547171764637702	0.809292690251138	0.80175422955625	0.807040350773371	0.64291007385511	0.8163149823662	0.81339507159492	0.816962398633961	0.818773767840309	0.829115821161634	0.828779098198128	0.734768858457937	0.943319453173346	0.490049504819964	0.924012375645088	0.802133316530817	0.597205776253549	0.597378653216028	0.69117984400517	0.612635603177903	0.594690568697542	0.592398102283088	0.590710948406621	0.590914941230089	0.590477907788872	0.592962035039637	0.59118050243108	0.590211471781961	0.591072211658356	0.540625845195889	0.540625845195889	0.803970319596398	0.803970319596398	0.727944688477683	0.727944688477683	0.810855404381039	0.810855404381039	0.784912858819902	0.784912858819902	0.809304357103135	0.809304357103135	0.785937759708439	0.785937759708439	0.811249318383545	0.811249318383545	0.801769490391086	0.801769490391086	0.806390580209943	0.806390580209943	0.931957944422525	0.931957944422525	0.931957944422525	0.931957944422525	0.80163934868602	0.80163934868602	0.794445158201781	0.794445158201781	0.644797256750665	0.644797256750665	0.80351970333129	0.80351970333129	0.711421031746032	0.765583333333334	0.450551298718497	0.450551298718497	0.698102777777779	0.911998156775223	0.921895942030678	0.611538253388231	0.874304965134322	0.874304965134322	0.698102777777779	0.745911300182343	0.745911300182343	0.745911300182343	0.745911300182343	0.745911300182343	0.971070852300787	0.797909726517311	0.732862210447809	0.804419392846071	0.804419392846071	0.528587769128444	0.539086536476757	0.547171764637702	0.911998156775223	0.802133316530817	0.64291007385511	0.56819443377132	0.931957944422525	0.931957944422525	0.924012375645088	0.439189013393982	0.971070852300787	0.745911300182343
GSM597452	0.546011662352159	0.551770924566201	0.520355034783162	0.568760516250182	0.50880126555259	0.554006518624777	0.50645722627928	0.505534975168152	0.559851820767003	0.556873234238709	0.558565119718947	0.482216016814281	0.562289213990866	0.560682102477958	0.561927268098439	0.562351855469227	0.566556253656594	0.566026323917575	0.426965387571079	0.622033904076204	0.534336028950658	0.623325064037429	0.39418826353053	0.439537778466176	0.437964968788029	0.359298253821707	0.413646128219454	0.439717547271157	0.441245864858328	0.443212494432422	0.443017663698496	0.442411853128415	0.448078178089428	0.445285881746038	0.442797764025919	0.445346251739558	0.509074421240357	0.509074421240357	0.533159413701235	0.533159413701235	0.404703553740084	0.404703553740084	0.539081383942158	0.539081383942158	0.52724778769616	0.52724778769616	0.538262047297544	0.538262047297544	0.528110734236887	0.528110734236887	0.539555714752281	0.539555714752281	0.535058234786287	0.535058234786287	0.536941357029369	0.536941357029369	0.582018506143522	0.582018506143522	0.582018506143522	0.582018506143522	0.534174893419361	0.534174893419361	0.531407836858662	0.531407836858662	0.470408643444237	0.470408643444237	0.535217582152528	0.535217582152528	0.582504761904762	0.631496825396826	0.55265566183636	0.55265566183636	0.562536904761905	0.638058769707194	0.703726936058553	0.438258927386918	0.62570528423254	0.62570528423254	0.562536904761905	0.52937787771225	0.52937787771225	0.622459352016449	0.622459352016449	0.622459352016449	0.722726701015473	0.5207055910872	0.504349302527416	0.522366003046811	0.522366003046811	0.50880126555259	0.50645722627928	0.505534975168152	0.638058769707194	0.39418826353053	0.482216016814281	0.520355034783162	0.582018506143522	0.582018506143522	0.623325064037429	0.546011662352159	0.722726701015473	0.52937787771225
GSM597453	0.42517400913338	0.398412153844304	0.615186363433028	0.923700537403762	0.559846528705151	0.900478416615617	0.592323196953597	0.616725300420806	0.914510454055894	0.9077222089635	0.91437617785901	0.814895539878519	0.921722550146553	0.921066644123171	0.924430882074939	0.926630020454028	0.933673560605735	0.934432286338098	0.906608941851149	0.987214369802336	0.473440629329701	0.990765635859205	0.955584520397123	0.735649700019349	0.750867259925104	0.894172404302376	0.795779651891283	0.757205544699654	0.763088625365148	0.774579014118241	0.777316825528015	0.772900811404211	0.776210174857105	0.778298659037225	0.767781805127783	0.776350750140052	0.731071602134282	0.731071602134282	0.943554087675391	0.943554087675391	0.936005461856724	0.936005461856724	0.94770963191425	0.94770963191425	0.932013610935872	0.932013610935872	0.946848262826362	0.946848262826362	0.932799013401395	0.932799013401395	0.94793497081915	0.94793497081915	0.942604667236229	0.942604667236229	0.945229050164575	0.945229050164575	0.99221725267239	0.99221725267239	0.99221725267239	0.99221725267239	0.942433056707091	0.942433056707091	0.938149102639777	0.938149102639777	0.825351725043455	0.825351725043455	0.943552233176119	0.943552233176119	0.766277777777778	0.744861507936509	0.433358009532538	0.433358009532538	0.8033126984127	0.976372623833052	0.969672320206375	0.800599800890884	0.974716001633644	0.974716001633644	0.8033126984127	0.5	0.745911300182343	0.745911300182343	0.745911300182343	0.745911300182343	0.977283111957441	0.914980946965919	0.923461722116073	0.93150383814011	0.93150383814011	0.559846528705151	0.592323196953597	0.616725300420806	0.976372623833052	0.955584520397123	0.814895539878519	0.615186363433028	0.99221725267239	0.99221725267239	0.990765635859205	0.42517400913338	0.977283111957441	0.5
GSM597454	0.49086373980818	0.398381559862442	0.539678945901952	0.865604148930156	0.498144993214848	0.822955342459982	0.483856504020256	0.471490886318993	0.838278184006755	0.830256005410042	0.833795939210946	0.560821742760084	0.844781634273474	0.839701289275172	0.843447319173975	0.8449359365705	0.858036764891286	0.856868414070665	0.740623564239363	0.974535678932634	0.473409137170874	0.99399572774288	0.818011065025584	0.637405723055555	0.641021595320508	0.618310476105976	0.794076411376448	0.636122261186762	0.634381406604129	0.63942076169848	0.644875094483631	0.641747201774176	0.59601175860696	0.633083107387456	0.633800115365911	0.629266770965985	0.672944007483087	0.672944007483087	0.772684463443008	0.772684463443008	0.600098891498405	0.600098891498405	0.792484201453739	0.792484201453739	0.747814101295325	0.747814101295325	0.789093404973483	0.789093404973483	0.750236989337047	0.750236989337047	0.794379229725016	0.794379229725016	0.776365851736234	0.776365851736234	0.783878405205694	0.783878405205694	0.939001153140053	0.939001153140053	0.939001153140053	0.939001153140053	0.773803898482925	0.773803898482925	0.762864418625163	0.762864418625163	0.556011315960398	0.556011315960398	0.777531546287098	0.777531546287098	0.651852380952381	0.673367460317461	0.4393307106308	0.4393307106308	0.64955873015873	0.954938109590458	0.946396232099459	0.740995483970895	0.836872677219094	0.836872677219094	0.649558730158731	0.52937787771225	0.52937787771225	0.622459352016449	0.622459352016449	0.622459352016449	0.910719052521608	0.890250233173736	0.673600963017595	0.721704252234954	0.721704252234954	0.498144993214848	0.483856504020256	0.471490886318993	0.954938109590458	0.818011065025584	0.560821742760084	0.539678945901952	0.939001153140053	0.939001153140053	0.99399572774288	0.49086373980818	0.910719052521608	0.52937787771225
GSM597455	0.47983980687921	0.436318448357998	0.524746973658199	0.772934776433867	0.514741163479884	0.733228744839446	0.515113843994569	0.515431950389734	0.755752699245066	0.744502357496864	0.755161948890959	0.583904437061225	0.768175423568455	0.76671827307367	0.77283984313561	0.776844274337361	0.790576663368001	0.792026058697229	0.550748220743853	0.922557391918769	0.500051571337292	0.918879894437416	0.596757060058057	0.531692282994622	0.535366567960694	0.530932921898173	0.561550391643152	0.537507040806574	0.539846079264074	0.544754256931677	0.546205885163043	0.544403832403779	0.539397205920139	0.545490519502436	0.542053740848838	0.544432768483929	0.574624210111212	0.574624210111212	0.800364215775043	0.800364215775043	0.59191663048308	0.59191663048308	0.812681815556786	0.812681815556786	0.777285291054608	0.777285291054608	0.810449782654	0.810449782654	0.779149806157153	0.779149806157153	0.813578023834199	0.813578023834199	0.800569571221447	0.800569571221447	0.806548556270585	0.806548556270585	0.939334062288375	0.939334062288375	0.939334062288375	0.939334062288375	0.799442022125099	0.799442022125099	0.790212647936374	0.790212647936374	0.586785667032843	0.586785667032843	0.802193755918434	0.802193755918434	0.659263095238096	0.602684920634921	0.453858579704096	0.453858579704096	0.715937698412699	0.909972014736089	0.899240677032	0.563730242168281	0.903588932059111	0.903588932059111	0.715937698412699	0.25408872961998	0.25408872961998	0.325793474912643	0.325793474912643	0.325793474912643	0.881214784738403	0.672538360291124	0.675043129055644	0.715968831890495	0.715968831890495	0.514741163479884	0.515113843994569	0.515431950389734	0.909972014736089	0.596757060058057	0.583904437061225	0.524746973658199	0.939334062288375	0.939334062288375	0.918879894437416	0.47983980687921	0.881214784738403	0.25408872961998
GSM597456	0.464970657472922	0.43235017871762	0.546072615625242	0.762676013128876	0.53879387320469	0.74319229091468	0.55681554968021	0.57074655059315	0.750508075112417	0.746930151876381	0.748711463495201	0.68620025077085	0.752840562956026	0.750596782146259	0.751616378662969	0.751595550781933	0.755710795169817	0.754484465514532	0.769313499216581	0.822170652804122	0.473440408345393	0.897759972558059	0.846827782922271	0.718803512953209	0.747347788718042	0.777146175736647	0.874798713038855	0.762339891445155	0.777384329072424	0.804940681472987	0.812214102966213	0.80329049800246	0.781881655219022	0.808256069903759	0.790526287458483	0.802943406623991	0.887325642541229	0.887325642541229	0.779223948767868	0.779223948767868	0.784415135912577	0.784415135912577	0.769306386500962	0.769306386500962	0.767799595525221	0.767799595525221	0.77032240246549	0.77032240246549	0.767082830642175	0.767082830642175	0.767695297208951	0.767695297208951	0.769715000630213	0.769715000630213	0.770484399849066	0.770484399849066	0.834792116475067	0.834792116475067	0.834792116475067	0.834792116475067	0.772598456179234	0.772598456179234	0.770311289609652	0.770311289609652	0.689248298339752	0.689248298339752	0.77211931081575	0.77211931081575	0.711729365079366	0.72711507936508	0.456680824509583	0.456680824509583	0.698502777777779	0.912286144220535	0.852440096745293	0.868681907329103	0.867407144228575	0.867407144228575	0.698502777777778	0.745911300182343	0.745911300182343	0.745911300182343	0.745911300182343	0.745911300182343	0.875973437559958	0.88008573419532	0.849156366395649	0.894704637144747	0.894704637144747	0.53879387320469	0.55681554968021	0.57074655059315	0.912286144220535	0.846827782922271	0.68620025077085	0.546072615625242	0.834792116475067	0.834792116475067	0.897759972558059	0.464970657472922	0.875973437559958	0.745911300182343
GSM597457	0.455223780823953	0.430976903468803	0.512504979834148	0.417602616018978	0.526347550565078	0.439130335936314	0.536243273134672	0.54434096268678	0.426706379450277	0.433028277389936	0.426820940865426	0.513638742837547	0.419298411519855	0.419823220084649	0.415990777533828	0.413272069781742	0.404854886538758	0.403527779652892	0.510406181195242	0.319802492192181	0.496647384348275	0.50792239647133	0.571290269912889	0.551970057597503	0.555679691519198	0.573277202204948	0.547696556518977	0.557699428889375	0.559318915194206	0.559974648492231	0.559549811049777	0.560459592265328	0.561989369804121	0.558705502717654	0.5604850683726	0.559093169312864	0.495805373082953	0.495805373082953	0.465629023470161	0.465629023470161	0.582887854107587	0.582887854107587	0.436939316142313	0.436939316142313	0.474894584545677	0.474894584545677	0.440637184048696	0.440637184048696	0.471215542911198	0.471215542911198	0.433857682568683	0.433857682568683	0.450488618989548	0.450488618989548	0.445075924414275	0.445075924414275	0.361899725100629	0.361899725100629	0.361899725100629	0.361899725100629	0.456179258994039	0.456179258994039	0.463219541154493	0.463219541154493	0.524502598524417	0.524502598524417	0.452286574138113	0.452286574138113	0.693887301587302	0.703611904761905	0.500100373858309	0.500100373858309	0.711892063492065	0.459807425191366	0.32923457856788	0.569535743543213	0.408430865617719	0.408430865617719	0.711892063492065	0.5	0.745911300182343	0.745911300182343	0.745911300182343	0.745911300182343	0.94802794512677	0.839911051958767	0.835722964997211	0.86925445335997	0.86925445335997	0.526347550565078	0.536243273134672	0.54434096268678	0.459807425191366	0.571290269912889	0.513638742837547	0.512504979834148	0.361899725100629	0.361899725100629	0.50792239647133	0.455223780823953	0.94802794512677	0.5
GSM597458	0.462745663928725	0.463133257596002	0.530033922583379	0.713476210392969	0.532418114835934	0.688805434720751	0.548272306578446	0.561869966849851	0.704362896252831	0.696858082824239	0.704447919608425	0.613094031444582	0.71227721402188	0.711617894845519	0.715148451207771	0.717290352997481	0.724591269629641	0.725115576756315	0.521965518065243	0.799610935900497	0.520874170313005	0.719099914788259	0.498049624628738	0.514200472867713	0.523716106431965	0.535465217379727	0.508071779578304	0.532981454175362	0.541260099351135	0.555295817216477	0.557204936689325	0.551985573717581	0.568989963467952	0.563323680359697	0.548510341814852	0.561786670207365	0.648298180403359	0.648298180403359	0.758678072483396	0.758678072483396	0.602360297948484	0.602360297948484	0.756739705930274	0.756739705930274	0.742145537475503	0.742145537475503	0.756681307873369	0.756681307873369	0.742551982738391	0.742551982738391	0.755888126994176	0.755888126994176	0.752665676584809	0.752665676584809	0.755387294222535	0.755387294222535	0.853169542975252	0.853169542975252	0.853169542975252	0.853169542975252	0.754149210921462	0.754149210921462	0.749084578343469	0.749084578343469	0.608519284676051	0.608519284676051	0.754890146688731	0.754890146688731	0.572824603174604	0.63474880952381	0.503784734741258	0.503784734741258	0.590293650793651	0.911838068028911	0.876707681015909	0.552510250038208	0.89432372616896	0.89432372616896	0.590293650793651	0.745911300182343	0.5	0.5	0.5	0.5	0.86395800252736	0.432708746948085	0.468022030574023	0.491649125536148	0.491649125536148	0.532418114835934	0.548272306578446	0.561869966849851	0.911838068028911	0.498049624628738	0.613094031444582	0.530033922583379	0.853169542975252	0.853169542975252	0.719099914788259	0.462745663928725	0.86395800252736	0.745911300182343
GSM597459	0.450190133738067	0.391804334207139	0.566243509721628	0.716718596391946	0.534735953477163	0.701630510993084	0.549493231001277	0.560762694230289	0.714403797983902	0.708054802311619	0.716133808865295	0.699002016847725	0.723117777197877	0.724466107547951	0.728752016001007	0.732280517179066	0.739717480043343	0.742238399665158	0.815575826203192	0.827584731356189	0.473425072537328	0.743267410085375	0.773063632239009	0.736539451143606	0.753265184054734	0.818595110848935	0.884777689134891	0.758226210243265	0.765125630602121	0.784558238344709	0.791617676457881	0.783200646344285	0.760552013472794	0.787182906789687	0.771751927087295	0.782040175179282	0.862459943850966	0.862459943850966	0.770510408970273	0.770510408970273	0.836792774117235	0.836792774117235	0.784323992352406	0.784323992352406	0.759118283114296	0.759118283114296	0.782294141108715	0.782294141108715	0.761074960360481	0.761074960360481	0.785645282049791	0.785645282049791	0.775542073398217	0.775542073398217	0.779447726462388	0.779447726462388	0.875705096423613	0.875705096423613	0.875705096423613	0.875705096423613	0.77326880739208	0.77326880739208	0.767637821089108	0.767637821089108	0.704811257723119	0.704811257723119	0.775529295234622	0.775529295234622	0.776940079365081	0.796407936507938	0.433343117028481	0.433343117028481	0.796607936507939	0.679174148117167	0.712881675932728	0.864781287052031	0.797805703814844	0.797805703814844	0.796607936507939	0.745911300182343	0.745911300182343	0.745911300182343	0.745911300182343	0.745911300182343	0.86310429806924	0.66969407705578	0.915612178858121	0.708647641055776	0.708647641055776	0.534735953477163	0.549493231001277	0.560762694230289	0.679174148117167	0.773063632239009	0.699002016847725	0.566243509721628	0.875705096423613	0.875705096423613	0.743267410085375	0.450190133738067	0.86310429806924	0.745911300182343
GSM597460	0.460353897647171	0.432099460970818	0.549437673596269	0.689523600685275	0.519949419928729	0.671182858707963	0.523878012151447	0.526829154196216	0.671958885409635	0.67147320879285	0.667702568585916	0.570353191856643	0.669107982502677	0.664533504655863	0.663184652326027	0.66088474200809	0.662836652229422	0.659386230465671	0.659181298387766	0.721700009360617	0.485300321717227	0.786129263558208	0.771458890549799	0.586586129344379	0.594063659832818	0.627793122540417	0.662116461024983	0.596973136705442	0.600635321421018	0.610589570356356	0.614056297499574	0.609582375324503	0.600217777408753	0.61275352207951	0.604161223075716	0.610225879355293	0.667957591301315	0.667957591301315	0.586079578998203	0.586079578998203	0.569229892751019	0.569229892751019	0.580538966398735	0.580538966398735	0.582815592244546	0.582815592244546	0.581246619983871	0.581246619983871	0.582425843730035	0.582425843730035	0.579701376638408	0.579701376638408	0.581926763256359	0.581926763256359	0.581707077778508	0.581707077778508	0.588718308143232	0.588718308143232	0.588718308143232	0.588718308143232	0.583283872466572	0.583283872466572	0.583042562964347	0.583042562964347	0.559426315308043	0.559426315308043	0.582841661272073	0.582841661272073	0.690009920634921	0.722205158730159	0.508157574197539	0.508157574197539	0.686576190476191	0.860873622618479	0.814242231356729	0.652397340641202	0.658734736429491	0.658734736429491	0.686576190476191	0.52937787771225	0.52937787771225	0.325793474912643	0.325793474912643	0.325793474912643	0.931354112408179	0.761374399324528	0.754834034094543	0.662682262916887	0.662682262916887	0.519949419928729	0.523878012151447	0.526829154196216	0.860873622618479	0.771458890549799	0.570353191856643	0.549437673596269	0.588718308143232	0.588718308143232	0.786129263558208	0.460353897647171	0.931354112408179	0.52937787771225
