features	algorithm
AFG3L2	SVM
IFI27	SVM
ISCU	SVM
LAP3	SVM
MRPS15	SVM
NDUFA9	SVM
NDUFB9	SVM
SCP2	SVM
SDHB	SVM
TIMM23	SVM
TOMM20	SVM
TOMM7	SVM
TSPO	SVM
AFG3L2	glmBoost+SVM
ISCU	glmBoost+SVM
LAP3	glmBoost+SVM
NDUFA9	glmBoost+SVM
NDUFB9	glmBoost+SVM
TIMM23	glmBoost+SVM
TOMM7	glmBoost+SVM
AFG3L2	Ridge
IFI27	Ridge
ISCU	Ridge
LAP3	Ridge
MRPS15	Ridge
NDUFA9	Ridge
NDUFB9	Ridge
SCP2	Ridge
SDHB	Ridge
TIMM23	Ridge
TOMM20	Ridge
TOMM7	Ridge
TSPO	Ridge
AFG3L2	glmBoost+Ridge
ISCU	glmBoost+Ridge
LAP3	glmBoost+Ridge
NDUFA9	glmBoost+Ridge
NDUFB9	glmBoost+Ridge
TIMM23	glmBoost+Ridge
TOMM7	glmBoost+Ridge
LAP3	Enet[alpha=0.1]
TIMM23	Enet[alpha=0.1]
TOMM7	Enet[alpha=0.1]
AFG3L2	glmBoost+Enet[alpha=0.1]
ISCU	glmBoost+Enet[alpha=0.1]
LAP3	glmBoost+Enet[alpha=0.1]
NDUFA9	glmBoost+Enet[alpha=0.1]
NDUFB9	glmBoost+Enet[alpha=0.1]
TIMM23	glmBoost+Enet[alpha=0.1]
TOMM7	glmBoost+Enet[alpha=0.1]
LAP3	Enet[alpha=0.2]
TIMM23	Enet[alpha=0.2]
TOMM7	Enet[alpha=0.2]
LAP3	Enet[alpha=0.3]
TIMM23	Enet[alpha=0.3]
TOMM7	Enet[alpha=0.3]
AFG3L2	glmBoost+Enet[alpha=0.3]
ISCU	glmBoost+Enet[alpha=0.3]
LAP3	glmBoost+Enet[alpha=0.3]
NDUFA9	glmBoost+Enet[alpha=0.3]
NDUFB9	glmBoost+Enet[alpha=0.3]
TIMM23	glmBoost+Enet[alpha=0.3]
TOMM7	glmBoost+Enet[alpha=0.3]
AFG3L2	glmBoost+Enet[alpha=0.2]
ISCU	glmBoost+Enet[alpha=0.2]
LAP3	glmBoost+Enet[alpha=0.2]
NDUFA9	glmBoost+Enet[alpha=0.2]
NDUFB9	glmBoost+Enet[alpha=0.2]
TIMM23	glmBoost+Enet[alpha=0.2]
TOMM7	glmBoost+Enet[alpha=0.2]
AFG3L2	glmBoost+Enet[alpha=0.4]
ISCU	glmBoost+Enet[alpha=0.4]
LAP3	glmBoost+Enet[alpha=0.4]
NDUFA9	glmBoost+Enet[alpha=0.4]
NDUFB9	glmBoost+Enet[alpha=0.4]
TIMM23	glmBoost+Enet[alpha=0.4]
TOMM7	glmBoost+Enet[alpha=0.4]
AFG3L2	glmBoost
ISCU	glmBoost
LAP3	glmBoost
NDUFA9	glmBoost
NDUFB9	glmBoost
TIMM23	glmBoost
TOMM7	glmBoost
AFG3L2	glmBoost+Enet[alpha=0.5]
ISCU	glmBoost+Enet[alpha=0.5]
LAP3	glmBoost+Enet[alpha=0.5]
NDUFA9	glmBoost+Enet[alpha=0.5]
NDUFB9	glmBoost+Enet[alpha=0.5]
TIMM23	glmBoost+Enet[alpha=0.5]
TOMM7	glmBoost+Enet[alpha=0.5]
AFG3L2	glmBoost+Enet[alpha=0.6]
ISCU	glmBoost+Enet[alpha=0.6]
LAP3	glmBoost+Enet[alpha=0.6]
NDUFA9	glmBoost+Enet[alpha=0.6]
NDUFB9	glmBoost+Enet[alpha=0.6]
TIMM23	glmBoost+Enet[alpha=0.6]
TOMM7	glmBoost+Enet[alpha=0.6]
AFG3L2	glmBoost+Enet[alpha=0.7]
ISCU	glmBoost+Enet[alpha=0.7]
LAP3	glmBoost+Enet[alpha=0.7]
NDUFA9	glmBoost+Enet[alpha=0.7]
NDUFB9	glmBoost+Enet[alpha=0.7]
TIMM23	glmBoost+Enet[alpha=0.7]
TOMM7	glmBoost+Enet[alpha=0.7]
AFG3L2	glmBoost+Enet[alpha=0.8]
ISCU	glmBoost+Enet[alpha=0.8]
LAP3	glmBoost+Enet[alpha=0.8]
NDUFA9	glmBoost+Enet[alpha=0.8]
NDUFB9	glmBoost+Enet[alpha=0.8]
TIMM23	glmBoost+Enet[alpha=0.8]
TOMM7	glmBoost+Enet[alpha=0.8]
AFG3L2	glmBoost+Enet[alpha=0.9]
ISCU	glmBoost+Enet[alpha=0.9]
LAP3	glmBoost+Enet[alpha=0.9]
NDUFA9	glmBoost+Enet[alpha=0.9]
NDUFB9	glmBoost+Enet[alpha=0.9]
TIMM23	glmBoost+Enet[alpha=0.9]
TOMM7	glmBoost+Enet[alpha=0.9]
AFG3L2	glmBoost+Lasso
ISCU	glmBoost+Lasso
LAP3	glmBoost+Lasso
NDUFA9	glmBoost+Lasso
NDUFB9	glmBoost+Lasso
TIMM23	glmBoost+Lasso
TOMM7	glmBoost+Lasso
AFG3L2	glmBoost+plsRglm
ISCU	glmBoost+plsRglm
LAP3	glmBoost+plsRglm
NDUFA9	glmBoost+plsRglm
NDUFB9	glmBoost+plsRglm
TIMM23	glmBoost+plsRglm
TOMM7	glmBoost+plsRglm
AFG3L2	glmBoost+Stepglm[forward]
ISCU	glmBoost+Stepglm[forward]
LAP3	glmBoost+Stepglm[forward]
NDUFA9	glmBoost+Stepglm[forward]
NDUFB9	glmBoost+Stepglm[forward]
TIMM23	glmBoost+Stepglm[forward]
TOMM7	glmBoost+Stepglm[forward]
TOMM7	RF+SVM
NDUFA9	RF+SVM
TIMM23	RF+SVM
SDHB	RF+SVM
LAP3	RF+SVM
AFG3L2	Stepglm[forward]
IFI27	Stepglm[forward]
ISCU	Stepglm[forward]
LAP3	Stepglm[forward]
MRPS15	Stepglm[forward]
NDUFA9	Stepglm[forward]
NDUFB9	Stepglm[forward]
SCP2	Stepglm[forward]
SDHB	Stepglm[forward]
TIMM23	Stepglm[forward]
TOMM20	Stepglm[forward]
TOMM7	Stepglm[forward]
TSPO	Stepglm[forward]
AFG3L2	plsRglm
IFI27	plsRglm
ISCU	plsRglm
LAP3	plsRglm
MRPS15	plsRglm
NDUFA9	plsRglm
NDUFB9	plsRglm
SCP2	plsRglm
SDHB	plsRglm
TIMM23	plsRglm
TOMM20	plsRglm
TOMM7	plsRglm
TSPO	plsRglm
TOMM7	RF+Ridge
NDUFA9	RF+Ridge
TIMM23	RF+Ridge
SDHB	RF+Ridge
LAP3	RF+Ridge
TOMM7	RF+Enet[alpha=0.1]
NDUFA9	RF+Enet[alpha=0.1]
TIMM23	RF+Enet[alpha=0.1]
SDHB	RF+Enet[alpha=0.1]
LAP3	RF+Enet[alpha=0.1]
TOMM7	RF+plsRglm
NDUFA9	RF+plsRglm
TIMM23	RF+plsRglm
SDHB	RF+plsRglm
LAP3	RF+plsRglm
TOMM7	RF+Stepglm[forward]
NDUFA9	RF+Stepglm[forward]
TIMM23	RF+Stepglm[forward]
SDHB	RF+Stepglm[forward]
LAP3	RF+Stepglm[forward]
TOMM7	RF+Enet[alpha=0.2]
NDUFA9	RF+Enet[alpha=0.2]
TIMM23	RF+Enet[alpha=0.2]
SDHB	RF+Enet[alpha=0.2]
LAP3	RF+Enet[alpha=0.2]
TOMM7	RF+Enet[alpha=0.3]
NDUFA9	RF+Enet[alpha=0.3]
TIMM23	RF+Enet[alpha=0.3]
SDHB	RF+Enet[alpha=0.3]
LAP3	RF+Enet[alpha=0.3]
TOMM7	RF+Enet[alpha=0.6]
NDUFA9	RF+Enet[alpha=0.6]
TIMM23	RF+Enet[alpha=0.6]
LAP3	RF+Enet[alpha=0.6]
TOMM7	RF+Enet[alpha=0.7]
NDUFA9	RF+Enet[alpha=0.7]
TIMM23	RF+Enet[alpha=0.7]
LAP3	RF+Enet[alpha=0.7]
TOMM7	RF+Enet[alpha=0.5]
NDUFA9	RF+Enet[alpha=0.5]
TIMM23	RF+Enet[alpha=0.5]
LAP3	RF+Enet[alpha=0.5]
TOMM7	RF+glmBoost
NDUFA9	RF+glmBoost
TIMM23	RF+glmBoost
LAP3	RF+glmBoost
TOMM7	RF+Enet[alpha=0.9]
NDUFA9	RF+Enet[alpha=0.9]
TIMM23	RF+Enet[alpha=0.9]
LAP3	RF+Enet[alpha=0.9]
TOMM7	RF+Enet[alpha=0.4]
NDUFA9	RF+Enet[alpha=0.4]
TIMM23	RF+Enet[alpha=0.4]
SDHB	RF+Enet[alpha=0.4]
LAP3	RF+Enet[alpha=0.4]
TOMM7	RF+Enet[alpha=0.8]
NDUFA9	RF+Enet[alpha=0.8]
TIMM23	RF+Enet[alpha=0.8]
LAP3	RF+Enet[alpha=0.8]
TOMM7	RF+Stepglm[both]
NDUFA9	RF+Stepglm[both]
TIMM23	RF+Stepglm[both]
TOMM7	RF+Stepglm[backward]
NDUFA9	RF+Stepglm[backward]
TIMM23	RF+Stepglm[backward]
AFG3L2	Stepglm[both]+Ridge
LAP3	Stepglm[both]+Ridge
NDUFA9	Stepglm[both]+Ridge
NDUFB9	Stepglm[both]+Ridge
TIMM23	Stepglm[both]+Ridge
TOMM7	Stepglm[both]+Ridge
AFG3L2	Stepglm[backward]+Ridge
LAP3	Stepglm[backward]+Ridge
NDUFA9	Stepglm[backward]+Ridge
NDUFB9	Stepglm[backward]+Ridge
TIMM23	Stepglm[backward]+Ridge
TOMM7	Stepglm[backward]+Ridge
