Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.
1	1	0.13188511264442	14.6453670664911	0.939560678541499	3532.07438472211	3537.54981410173	3739.5351392921
2	2	0.0862503651423735	5.69546451655708	0.967236427451765	1852.7253192644	1856.50037497911	2076.35935430114
3	3	0.042956804544975	-2.39623228356652	0.992579983084527	1003.16281677744	1000.62392645727	1252.37079480797
4	4	0.21062630367482	-3.38928009891194	0.949482314748314	559.320900196283	551.73783653586	802.66116230081
5	5	0.49863287706541	-4.03412511753519	0.929582856137305	320.542427750831	310.631824038172	548.225475226771
6	6	0.700191646797893	-3.91727559146316	0.93601134621564	188.550720719936	178.256548118348	389.727159725807
7	7	0.819356786338031	-3.59816794202729	0.950701056953728	113.711452484908	104.269562127083	286.391718816596
8	8	0.897557825020979	-3.29408445526805	0.965792506971862	70.247307930676	62.0516829320373	216.380427634031
9	9	0.945672879928878	-3.02901321787561	0.978628046963071	44.4220099168128	37.5096141729255	167.49133264632
10	10	0.967762279692092	-2.86484891384734	0.99026717522778	28.7382586191494	23.0011567301402	135.3457439739
11	12	0.96700030434361	-2.56630412596374	0.986823104961	12.8540624221248	9.02599311546491	94.0755188951867
12	14	0.952748737583944	-2.33286359656911	0.975965257466639	6.26333340809672	3.71176383755118	69.7555785200026
13	16	0.944774272782515	-2.13452118454482	0.973944696905994	3.31104697119494	1.59592921748615	54.2176251168614
14	18	0.944835018585136	-1.95865351388659	0.973765678091888	1.88850303256052	0.71016096469008	43.6122584808858
15	20	0.953772472391375	-1.82386498302627	0.989585923341332	1.1538111736489	0.327203524061212	35.977770618747
16	22	0.934291750719064	-1.73777317660027	0.980653950117739	0.748747987348447	0.154814018120567	30.2442421554653
17	24	0.93243096686412	-1.65658995311349	0.975521790253814	0.511484485923778	0.0753647085377613	25.7920767273718
18	26	0.93551987683094	-1.59338962120461	0.984111950876208	0.364657635640672	0.0376690010898577	22.2427626814175
19	28	0.936795618658615	-1.53044992108528	0.98099441654491	0.26924829634167	0.0192519335721641	19.3537700915651
20	30	0.93354171669608	-1.49429951830236	0.982079832703136	0.204554155843454	0.0100460297107021	16.962970678983
