gene_name	module	color	kME_blue	kME_yellow	kME_grey	kME_turquoise	kME_brown	kME_magenta	kME_pink	kME_green	kME_black	kME_red	kME_purple
A3galt2	A3galt2	blue	blue	0.185318281263287	0.160534657473989	0.0708119970951292	-0.207868843453695	-0.161585889994998	0.0575252621852065	-0.0471009547094968	0.164341705761255	0.04608057694014	0.108867130888845	0.0831221984856873
AABR07001382.1	AABR07001382.1	yellow	yellow	0.0666083832195365	0.174311125159198	0.0721217080712655	-0.007702038688938	0.176265479931273	-0.0678872422065497	-0.0795506002037782	0.0452226379064361	0.121471774930089	-0.0349763055354487	0.0573523363060298
AABR07002674.1	AABR07002674.1	grey	grey	0.155157733576216	0.0392626832473301	0.167641425593567	0.00704375188989769	0.00307399153659237	0.138764406328956	0.245680557267663	0.162432078275196	0.120640445374442	0.143163245317846	0.095077381295221
AABR07002683.1	AABR07002683.1	grey	grey	0.198383261195053	0.0998734650435602	0.148890696812872	-0.205294123849786	-0.0433344431725528	0.0650198021600631	0.0597291407750016	0.144581218647624	0.109188365871054	0.20049898065716	0.1293224398839
AABR07002768.1	AABR07002768.1	grey	grey	0.0213408160744662	0.0405079490443574	0.0238433240542245	-0.0107294358875891	0.0590354205258507	-0.0254430358370305	-0.0169620294231211	0.173481633682002	0.0287004592134725	0.0398138835682025	0.08385742802234
AABR07004269.3	AABR07004269.3	turquoise	turquoise	-0.0579120663553934	0.0904731269002376	0.063975955336621	0.131855371195283	0.184899797673079	-0.0349768307865754	-0.0591228203156487	-0.0310529745376559	0.00791629958884851	0.0124610949725089	0.0040503797871387
AABR07006333.1	AABR07006333.1	grey	grey	-0.0472734880382923	-0.0276299710871887	0.042613951117431	0.0886991085836333	0.00184289955017835	0.0758114385907013	0.0871703157238574	0.0442244701537984	0.00747391102436806	-0.0306394354981874	0.0649621918947585
AABR07006627.1	AABR07006627.1	blue	blue	0.0740077695530404	0.040908488948683	-0.0141382050184192	-0.0886398609557058	-0.16907894273908	0.131256156190973	-0.048492143657328	0.0789214939333841	0.0203049475815637	0.0309562534325644	0.140525861988958
AABR07006860.1	AABR07006860.1	yellow	yellow	0.130202623149649	0.233980104511455	0.11935739795478	-0.0198789549549723	0.109584207720103	0.00754181582912837	-0.0798930461869405	-0.00749321480303761	0.215902296716426	0.0580791135780852	0.0592529371007097
AABR07011951.1	AABR07011951.1	brown	brown	-0.0961374013279212	-0.0135225168447158	-0.0589670911189909	0.0865292702774869	0.0880426552867324	-0.106168873314202	-0.0717294720713948	0.0336055074786423	-0.079560775023219	-0.1048027269242	-0.0243255920988912
AABR07012775.1	AABR07012775.1	brown	brown	-0.0239240829122096	0.0258096527130435	-0.0698214157611448	-0.0824719279778341	0.0725499330889888	-0.011211281858413	-0.0233772930991004	-0.0549804231999476	-0.0251440976878707	-0.0882333707729284	0.00119567886509917
AABR07015507.1	AABR07015507.1	magenta	magenta	0.0486982730743444	0.0830009664128746	0.102245509242843	-0.0204686649589243	-0.00170246325363152	0.128997447204618	0.0443823089228697	0.0841287066053359	0.10109677177932	-0.0709206040471306	0.0980328607345548
AABR07015729.1	AABR07015729.1	grey	grey	0.0121572666502022	-0.0453169194685155	0.0458690020649059	-0.00288166781782789	0.0344042728490526	-0.0912033227230216	0.0345599054802033	-0.0544624633759229	-0.0775333680220774	0.0704347718020796	-0.0320705233803583
AABR07018038.1	AABR07018038.1	grey	grey	0.0639198644137346	0.0696395706052049	0.0948585336368295	0.0330285139424197	0.122291155311217	0.0158767698055874	0.0489373504287324	0.0231608225052654	0.0928449400752001	0.0385832192345026	-0.00871109418954923
AABR07019086.1	AABR07019086.1	grey	grey	0.0559147080562527	0.0942242907356983	0.13146455878413	0.093467476197027	0.153716173337833	0.100177232656564	0.0373029108943478	0.120423376228627	0.0728360929206658	0.0359239064913692	0.222572393832386
AABR07021544.1	AABR07021544.1	grey	grey	0.0948260584251485	0.0388494927538911	0.0607982148778036	-0.0109741108788307	0.0481284241923301	0.097554169051872	0.0918652635994698	-0.0514529263546398	0.106372463727535	-0.00421278948750044	-0.0321839745064683
AABR07021823.1	AABR07021823.1	grey	grey	0.115447368398956	0.0679420409263543	0.14993226418862	-0.0270577103021011	0.0470843762714266	0.135062635242939	0.0601853327866565	0.0655553934199259	0.0874054368034024	0.0961952160574873	0.0892976842969585
AABR07021871.1	AABR07021871.1	grey	grey	0.0968718962489089	0.0531350417308754	0.062096237655315	-0.101504423842104	-0.0432093542977406	-0.0450953369306666	0.156111348320896	0.0165329345638376	0.0304670553391737	0.118367755664776	0.0515437792012862
AABR07021988.1	AABR07021988.1	grey	grey	-0.0766550061206501	0.00926306171486044	-0.0142863470173806	0.0505527529624415	0.0852711959853704	0.0151496692002955	-0.0209059459864092	0.0212765620412252	0.000700277819877376	-0.0991235804698042	0.117877900678567
AABR07026112.1	AABR07026112.1	turquoise	turquoise	-0.0796160245918561	-0.0775643292665621	-0.0216722269841836	0.121146328774652	0.033666989224698	-0.0349386245152747	0.0671614015948263	-0.0366378207536912	-0.0753992383029124	-0.00866005619332559	-0.0513813044722873
AABR07026294.1	AABR07026294.1	grey	grey	0.051591798106799	0.140660916993645	0.105339711949601	0.0230751062148324	0.171190396494643	0.034472972930318	-0.0994952150081484	0.0244998179637232	0.0828662807143219	0.0410526981235673	0.0934383046944344
AABR07026311.1	AABR07026311.1	turquoise	turquoise	-0.00213822328412947	-0.0798194579205235	0.00635334879861523	0.0772209435395064	0.0137578795098185	0.0235569300690071	0.0898654552756172	0.0234115141549603	0.000881750662000252	0.0226858339655414	-0.0642898264169137
AABR07026424.1	AABR07026424.1	pink	pink	-0.0161763454618162	-0.0658016205357897	0.0403946663379185	0.161262099828705	0.019163950757108	0.168185974602849	0.132820223322878	0.0166729783552517	-0.0279304412732697	0.0207339549355637	0.0351750089872849
AABR07028769.1	AABR07028769.1	grey	grey	0.00113585991906209	0.0570785930220865	-0.00673123480700459	0.0818366516823055	0.153437734674845	0.073437165250184	0.0426874580382169	0.00275457823608686	0.0708553355854862	-0.0272092087418105	0.0630562789948197
AABR07028902.1	AABR07028902.1	grey	grey	-0.00212051991153964	0.0231238277914194	-0.0159744932927916	0.101558665527573	0.0636649838310323	0.00869515465895932	-0.0415469188141207	0.0222278120914646	0.0325363352050183	-0.085160642616244	0.0238421391406157
AABR07029272.1	AABR07029272.1	yellow	yellow	0.00379907360993002	0.136020954345444	0.0506587186657202	-0.00496357396231827	0.124952068784066	0.0421410396970791	-0.117505059776262	-0.0436413329275524	0.0484187170311467	-0.0328596643945985	0.0176086249496478
AABR07029581.1	AABR07029581.1	green	green	0.0457807896186574	0.079213996023059	0.02368361912692	-0.0577063707802049	0.0139279481460091	0.0972386782479971	0.0124226627528003	0.205491022270995	0.0196395735402465	0.0194737818418747	0.179170097974918
AABR07029605.1	AABR07029605.1	turquoise	turquoise	-0.183213043405845	-0.0174238527767266	-0.0265774015220879	0.250776932777662	0.203092357273442	-0.0109090093193096	-0.0301225725570592	-0.026464508476543	-0.0663497527952528	-0.103113541674253	-0.0563701428416685
AABR07031089.1	AABR07031089.1	pink	pink	0.00300476944404448	0.0106035122926781	0.066403634017931	-0.0212113220360394	0.0587502278226026	-0.0226370558414363	0.138038338057741	-0.0256087357434495	0.0653026511498817	0.00133582270215029	0.0549548347820987
AABR07031491.2	AABR07031491.2	brown	brown	0.0579311682707153	0.0980780403886514	0.0965573989024164	-0.00523939109953922	0.113909423308937	0.0221035968589459	0.0210042340238728	0.0100188449307876	0.0840030818854631	0.0157145328679284	0.0975558783205096
